job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
PC4P-Me_PFHpA_alternate_oxygen__water,PC4P-Me_PFHpA_alternate_oxygen,water,2,complex,PC4P-Me,PFHpA,alternate_oxygen,0,1,99,8,64,48,48,0,inputs/water/PC4P-Me_PFHpA_alternate_oxygen
PC4P-Me_PFHpA_alternate_oxygen__unsolvated,PC4P-Me_PFHpA_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFHpA,alternate_oxygen,0,1,99,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFHpA_alternate_oxygen
PC4P-Me_PFOA_head_axial__water,PC4P-Me_PFOA_head_axial,water,2,complex,PC4P-Me,PFOA,head_axial,0,1,102,8,64,48,48,0,inputs/water/PC4P-Me_PFOA_head_axial
PC4P-Me_PFOA_head_axial__unsolvated,PC4P-Me_PFOA_head_axial,unsolvated,2,complex,PC4P-Me,PFOA,head_axial,0,1,102,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOA_head_axial
PC4P-Me_PFOA_head_tangential__water,PC4P-Me_PFOA_head_tangential,water,2,complex,PC4P-Me,PFOA,head_tangential,0,1,102,8,64,48,48,0,inputs/water/PC4P-Me_PFOA_head_tangential
PC4P-Me_PFOA_head_tangential__unsolvated,PC4P-Me_PFOA_head_tangential,unsolvated,2,complex,PC4P-Me,PFOA,head_tangential,0,1,102,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOA_head_tangential
PC4P-Me_PFOA_alternate_oxygen__water,PC4P-Me_PFOA_alternate_oxygen,water,2,complex,PC4P-Me,PFOA,alternate_oxygen,0,1,102,8,64,48,48,0,inputs/water/PC4P-Me_PFOA_alternate_oxygen
PC4P-Me_PFOA_alternate_oxygen__unsolvated,PC4P-Me_PFOA_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFOA,alternate_oxygen,0,1,102,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOA_alternate_oxygen
PC4P-Me_PFNA_head_axial__water,PC4P-Me_PFNA_head_axial,water,2,complex,PC4P-Me,PFNA,head_axial,0,1,105,8,64,48,48,0,inputs/water/PC4P-Me_PFNA_head_axial
PC4P-Me_PFNA_head_axial__unsolvated,PC4P-Me_PFNA_head_axial,unsolvated,2,complex,PC4P-Me,PFNA,head_axial,0,1,105,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFNA_head_axial
